Quantity,Year,Month,Day,Avg_temp,Menu_Code
46,2021,202101,2,33.0,2
40,2021,202101,2,33.0,5
6,2021,202101,2,33.0,6
6,2021,202101,2,33.0,9
11,2021,202101,2,33.0,10
2,2021,202101,2,33.0,11
2,2021,202101,2,33.0,12
6,2021,202101,2,33.0,19
10,2021,202101,2,33.0,21
19,2021,202101,2,33.0,23
10,2021,202101,2,33.0,27
8,2021,202101,2,33.0,28
55,2021,202101,2,33.0,29
66,2021,202101,2,33.0,30
1,2021,202101,2,33.0,35
2,2021,202101,2,33.0,42
5,2021,202101,2,33.0,47
1,2021,202101,2,33.0,49
1,2021,202101,2,33.0,58
8,2021,202101,2,33.0,59
7,2021,202101,2,33.0,60
9,2021,202101,2,33.0,63
4,2021,202101,2,33.0,64
2,2021,202101,2,33.0,67
6,2021,202101,2,33.0,70
6,2021,202101,2,33.0,73
10,2021,202101,2,33.0,77
6,2021,202101,2,33.0,82
48,2021,202101,2,33.0,83
6,2021,202101,2,33.0,84
6,2021,202101,2,33.0,85
3,2021,202101,2,33.0,108
9,2021,202101,2,33.0,120
2,2021,202101,2,33.0,121
5,2021,202101,2,33.0,123
8,2021,202101,2,33.0,124
1,2021,202101,2,33.0,125
128,2021,202101,2,33.0,138
9,2021,202101,2,33.0,146
36,2021,202101,3,35.5,2
8,2021,202101,3,35.5,4
35,2021,202101,3,35.5,5
5,2021,202101,3,35.5,6
3,2021,202101,3,35.5,9
11,2021,202101,3,35.5,10
2,2021,202101,3,35.5,11
3,2021,202101,3,35.5,12
9,2021,202101,3,35.5,21
16,2021,202101,3,35.5,23
4,2021,202101,3,35.5,24
6,2021,202101,3,35.5,27
2,2021,202101,3,35.5,28
43,2021,202101,3,35.5,29
59,2021,202101,3,35.5,30
4,2021,202101,3,35.5,35
1,2021,202101,3,35.5,39
5,2021,202101,3,35.5,42
4,2021,202101,3,35.5,47
7,2021,202101,3,35.5,59
7,2021,202101,3,35.5,60
12,2021,202101,3,35.5,63
9,2021,202101,3,35.5,64
4,2021,202101,3,35.5,67
2,2021,202101,3,35.5,70
3,2021,202101,3,35.5,73
6,2021,202101,3,35.5,77
4,2021,202101,3,35.5,82
45,2021,202101,3,35.5,83
4,2021,202101,3,35.5,84
5,2021,202101,3,35.5,85
7,2021,202101,3,35.5,108
1,2021,202101,3,35.5,123
7,2021,202101,3,35.5,124
1,2021,202101,3,35.5,125
4,2021,202101,3,35.5,127
171,2021,202101,3,35.5,138
10,2021,202101,3,35.5,146
30,2021,202101,4,35.5,2
24,2021,202101,4,35.5,5
3,2021,202101,4,35.5,6
1,2021,202101,4,35.5,7
4,2021,202101,4,35.5,9
5,2021,202101,4,35.5,10
1,2021,202101,4,35.5,12
3,2021,202101,4,35.5,19
6,2021,202101,4,35.5,21
7,2021,202101,4,35.5,23
4,2021,202101,4,35.5,27
2,2021,202101,4,35.5,28
22,2021,202101,4,35.5,29
17,2021,202101,4,35.5,30
1,2021,202101,4,35.5,38
3,2021,202101,4,35.5,41
1,2021,202101,4,35.5,42
1,2021,202101,4,35.5,47
4,2021,202101,4,35.5,55
2,2021,202101,4,35.5,59
3,2021,202101,4,35.5,63
2,2021,202101,4,35.5,67
1,2021,202101,4,35.5,70
2,2021,202101,4,35.5,73
1,2021,202101,4,35.5,77
3,2021,202101,4,35.5,82
17,2021,202101,4,35.5,83
2,2021,202101,4,35.5,84
1,2021,202101,4,35.5,95
1,2021,202101,4,35.5,120
4,2021,202101,4,35.5,121
2,2021,202101,4,35.5,123
7,2021,202101,4,35.5,124
128,2021,202101,4,35.5,138
29,2021,202101,5,37.6,2
26,2021,202101,5,37.6,5
2,2021,202101,5,37.6,6
3,2021,202101,5,37.6,7
2,2021,202101,5,37.6,9
6,2021,202101,5,37.6,10
2,2021,202101,5,37.6,12
2,2021,202101,5,37.6,19
3,2021,202101,5,37.6,21
7,2021,202101,5,37.6,23
