Quantity,Year,Month,Day,Avg_temp,Menu_Code
1,2022,202204,16,61.6,36
5,2021,202111,2,47.1,6
1,2021,202110,8,58.4,11
2,2022,202201,30,46.6,24
3,2022,202205,27,59.0,129
6,2022,202207,20,69.0,100
1,2021,202112,28,54.3,60
4,2022,202205,30,57.9,50
2,2022,202204,12,57.1,71
5,2021,202101,28,54.1,77
5,2021,202105,2,49.2,51
4,2021,202103,27,46.4,50
3,2022,202203,25,56.2,123
6,2022,202209,3,67.2,133
6,2021,202108,21,62.1,67
24,2021,202108,1,62.5,133
1,2021,202110,18,59.3,133
10,2022,202207,17,81.8,47
4,2021,202107,15,64.7,82
2,2022,202201,15,31.9,133
28,2022,202201,6,39.1,30
9,2021,202106,9,66.8,121
9,2021,202105,9,60.1,146
3,2021,202104,19,51.0,31
1,2022,202204,8,52.2,38
17,2021,202108,7,62.9,146
30,2021,202111,13,54.4,5
8,2021,202112,12,52.6,146
1,2022,202202,24,47.7,11
6,2021,202103,6,39.8,27
8,2021,202105,9,60.1,28
6,2021,202103,9,38.0,21
4,2021,202108,30,64.5,24
36,2021,202108,30,64.5,83
6,2021,202108,4,63.3,77
4,2022,202201,23,38.3,47
5,2022,202208,22,68.3,66
2,2021,202107,17,68.5,56
28,2021,202104,25,60.3,23
1,2022,202202,28,48.6,118
1,2021,202111,14,53.0,25
2,2022,202209,10,62.5,12
1,2021,202101,30,51.7,132
19,2021,202106,24,62.2,23
6,2022,202202,12,39.7,10
4,2022,202207,25,68.6,12
2,2021,202104,26,57.8,86
20,2022,202201,13,41.5,30
50,2021,202105,8,62.7,5
4,2022,202201,10,48.3,23
5,2021,202107,11,61.5,129
9,2022,202209,29,52.4,7
16,2022,202208,14,67.7,84
4,2021,202109,20,60.4,84
9,2022,202208,13,80.8,31
1,2021,202104,19,51.0,146
1,2021,202109,3,72.3,19
9,2021,202104,3,48.0,27
10,2021,202108,19,62.9,106
4,2022,202205,13,62.0,108
8,2022,202202,19,44.5,44
311,2021,202107,28,63.3,138
5,2021,202102,6,45.9,86
1,2021,202104,15,45.9,71
12,2021,202106,17,70.1,23
5,2021,202105,2,49.2,26
7,2021,202101,3,35.5,124
4,2022,202201,31,47.1,19
6,2021,202108,29,64.5,24
1,2021,202107,25,67.1,37
1,2022,202204,23,58.4,139
5,2022,202208,11,83.6,123
53,2022,202207,27,67.9,2
4,2022,202202,10,47.3,42
383,2022,202207,23,67.3,138
1,2022,202207,21,70.3,36
5,2021,202101,15,41.8,120
8,2021,202108,6,63.9,27
7,2022,202204,15,62.3,121
5,2021,202105,6,54.0,6
5,2022,202203,13,49.0,21
14,2022,202208,3,80.2,55
21,2021,202112,25,50.3,38
5,2021,202109,10,67.2,47
1,2021,202105,26,56.0,39
8,2021,202105,14,52.1,133
2,2021,202109,24,62.9,120
7,2021,202102,21,54.0,85
8,2022,202206,6,59.6,77
1,2021,202101,19,45.6,125
3,2022,202202,13,43.4,73
4,2022,202201,10,48.3,7
3,2022,202209,29,52.4,74
2,2022,202207,24,72.2,131
1,2022,202206,1,63.2,42
5,2022,202203,11,50.8,10
7,2022,202206,4,65.5,9
9,2022,202205,25,56.7,10
357,2021,202108,2,63.9,138
5,2021,202101,12,48.2,6
7,2021,202102,28,44.9,123
1,2022,202203,16,53.9,81
2,2022,202203,31,41.9,47
4,2021,202109,4,69.6,123
6,2022,202207,10,76.7,122
2,2022,202202,3,44.7,77
1,2022,202203,9,50.4,23
3,2022,202204,4,41.5,21
16,2021,202107,23,72.8,124
4,2021,202105,27,59.9,50
1,2021,202101,26,34.5,36
3,2022,202208,29,74.0,144
5,2021,202104,6,42.8,10
39,2021,202104,2,59.4,5
7,2021,202106,3,60.3,78
2,2022,202208,29,74.0,19
6,2022,202205,29,59.5,31
2,2022,202204,20,55.7,12
5,2021,202102,5,48.4,86
450,2021,202108,9,64.8,138
1,2021,202101,18,39.2,123
3,2021,202111,29,37.8,77
1,2022,202203,31,41.9,118
41,2021,202108,31,66.0,5
1,2021,202109,19,61.9,11
2,2022,202205,6,59.6,42
3,2021,202102,19,49.6,7
5,2021,202102,4,49.7,47
8,2021,202105,12,52.1,78
33,2021,202112,11,46.0,2
1,2021,202101,10,35.6,65
5,2021,202104,9,51.1,24
6,2021,202111,22,44.4,139
5,2022,202208,13,80.8,44
7,2022,202208,20,68.2,136
13,2021,202107,23,72.8,121
8,2021,202107,28,63.3,27
8,2022,202209,12,76.3,133
2,2021,202110,9,58.3,132
2,2021,202112,11,46.0,85
3,2021,202105,8,62.7,50
4,2022,202202,21,50.1,23
25,2021,202105,21,56.3,5
14,2021,202107,20,78.7,19
3,2022,202201,31,47.1,44
3,2021,202108,9,64.8,118
6,2021,202108,22,65.4,67
4,2021,202108,19,62.9,139
1,2022,202204,7,54.4,21
3,2021,202108,22,65.4,139
5,2021,202108,15,66.1,6
5,2022,202208,7,73.1,49
3,2022,202201,24,36.5,24
36,2021,202105,31,68.3,5
1,2021,202107,12,62.4,40
1,2021,202105,1,50.6,120
1,2021,202110,2,58.9,7
6,2021,202102,27,46.1,120
576,2022,202207,17,81.8,138
4,2021,202111,18,44.5,85
2,2022,202206,26,60.7,67
2,2021,202110,28,52.2,50
32,2021,202106,10,67.1,29
4,2021,202107,13,63.4,120
6,2021,202110,17,53.4,76
6,2022,202204,25,57.8,6
3,2022,202201,30,46.6,77
9,2021,202105,11,52.8,124
4,2021,202111,23,41.8,27
10,2022,202205,8,62.8,4
2,2021,202109,5,70.3,7
1,2022,202202,5,40.6,120
20,2021,202109,24,62.9,23
1,2021,202103,23,46.0,85
1,2021,202101,18,39.2,11
4,2021,202103,26,49.4,77
8,2022,202208,23,72.0,10
11,2022,202208,24,76.1,73
6,2022,202208,7,73.1,121
8,2021,202107,11,61.5,73
1,2021,202112,10,47.6,120
8,2021,202104,9,51.1,94
5,2021,202102,14,38.6,94
5,2021,202108,2,63.9,108
14,2022,202205,18,68.8,55
1,2021,202101,16,40.7,127
1,2021,202106,29,60.6,35
5,2021,202102,16,49.1,47
7,2022,202207,21,70.3,84
1,2021,202106,5,60.3,122
6,2021,202106,5,60.3,136
2,2021,202110,20,63.3,50
5,2021,202101,8,30.3,59
6,2022,202208,19,68.9,4
86,2021,202102,9,35.2,138
1,2022,202203,18,48.4,128
9,2021,202102,25,49.9,77
5,2021,202111,11,45.4,47
2,2022,202207,27,67.9,99
85,2021,202101,15,41.8,138
6,2021,202105,10,56.5,28
9,2022,202205,18,68.8,10
22,2021,202103,21,42.2,44
39,2021,202102,9,35.2,29
4,2021,202109,14,70.5,120
1,2021,202111,19,42.8,11
3,2021,202109,12,64.9,68
15,2022,202208,17,63.1,146
3,2022,202202,6,49.8,31
1,2022,202201,28,44.6,63
30,2022,202204,19,52.3,5
6,2022,202208,25,72.5,67
4,2022,202203,21,55.2,139
1,2022,202205,3,58.0,11
17,2022,202205,8,62.8,133
11,2021,202101,2,33.0,10
8,2021,202107,1,66.6,6
7,2022,202202,13,43.4,27
6,2021,202108,19,62.9,6
2,2021,202102,9,35.2,28
14,2022,202206,8,63.6,30
219,2022,202207,7,68.9,138
3,2022,202201,15,31.9,42
3,2022,202204,2,41.0,123
4,2021,202104,25,60.3,113
5,2021,202111,4,43.7,49
1,2022,202205,9,67.6,123
3,2021,202102,6,45.9,24
6,2021,202107,18,75.2,6
6,2022,202209,5,70.1,44
24,2022,202202,5,40.6,30
18,2022,202209,13,77.0,30
5,2021,202108,7,62.9,56
14,2021,202112,16,44.4,5
16,2021,202112,2,40.8,2
6,2021,202108,18,62.1,7
4,2022,202203,8,46.3,124
6,2021,202103,28,48.1,10
3,2021,202110,5,58.1,27
6,2022,202205,21,65.3,31
2,2021,202112,14,41.1,120
2,2021,202108,13,67.5,56
14,2022,202207,31,70.3,84
1,2022,202207,29,72.9,9
7,2022,202209,24,58.3,31
5,2022,202206,30,59.6,21
2,2022,202208,27,70.1,40
3,2022,202206,1,63.2,21
12,2021,202109,25,61.0,10
3,2021,202108,9,64.8,123
3,2022,202202,6,49.8,47
1,2021,202110,6,54.0,47
4,2021,202104,21,57.5,6
1,2022,202208,24,76.1,22
5,2022,202204,1,39.1,82
11,2022,202208,11,83.6,84
1,2022,202208,2,77.2,24
6,2022,202202,22,49.3,77
2,2022,202202,6,49.8,142
8,2022,202202,17,54.3,10
3,2022,202205,12,59.5,85
3,2021,202105,8,62.7,56
1,2022,202207,23,67.3,38
8,2022,202209,20,60.2,124
24,2021,202103,1,49.2,23
16,2022,202206,5,63.5,21
3,2022,202206,29,60.8,82
2,2021,202108,7,62.9,76
31,2021,202103,12,48.4,5
2,2021,202107,12,62.4,123
41,2021,202107,3,64.9,5
6,2022,202205,16,66.1,27
9,2022,202203,16,53.9,121
1,2022,202205,21,65.3,118
6,2021,202106,4,60.4,85
2,2021,202112,28,54.3,26
20,2021,202104,14,47.1,29
4,2022,202201,17,41.2,6
4,2021,202112,10,47.6,121
5,2022,202201,23,38.3,63
33,2022,202207,8,72.7,2
2,2021,202110,21,56.8,6
34,2021,202104,23,62.1,2
1,2021,202101,24,40.0,63
1,2022,202207,19,78.3,40
2,2022,202205,14,68.0,70
3,2021,202109,11,62.9,9
30,2021,202107,17,68.5,23
2,2021,202101,5,37.6,6
4,2021,202107,9,60.2,12
6,2021,202111,23,41.8,7
2,2021,202102,4,49.7,42
1,2021,202109,4,69.6,131
3,2021,202107,18,75.2,7
1,2021,202104,9,51.1,76
1,2021,202106,16,76.3,125
1,2021,202103,1,49.2,7
37,2022,202208,26,68.2,2
6,2022,202207,26,67.1,4
2,2022,202208,12,83.8,99
1,2022,202203,11,50.8,50
2,2022,202201,9,46.9,50
2,2022,202204,27,57.4,12
2,2022,202207,28,73.0,50
1,2021,202102,13,31.1,26
3,2022,202201,30,46.6,12
12,2021,202107,31,62.3,70
45,2021,202103,14,46.2,5
6,2021,202102,23,51.9,133
4,2022,202201,7,47.1,124
4,2022,202202,25,42.3,86
1,2021,202109,29,58.6,28
3,2022,202201,15,31.9,108
4,2022,202201,8,49.0,61
3,2022,202209,21,60.7,28
3,2021,202112,24,50.1,44
5,2021,202101,3,35.5,85
8,2021,202103,28,48.1,21
7,2021,202108,1,62.5,27
3,2022,202202,5,40.6,84
1,2022,202208,29,74.0,0
2,2022,202208,12,83.8,50
33,2022,202206,1,63.2,2
5,2021,202111,20,42.4,24
2,2021,202102,1,52.1,27
4,2022,202204,25,57.8,86
8,2022,202209,3,67.2,23
3,2021,202111,11,45.4,85
20,2021,202104,2,59.4,30
2,2022,202203,23,51.8,123
6,2021,202106,27,61.6,94
3,2022,202204,29,60.7,12
2,2022,202202,8,46.0,47
3,2022,202202,1,47.7,24
5,2021,202104,19,51.0,27
4,2022,202206,27,61.3,85
2,2022,202209,6,66.4,42
6,2022,202206,24,62.6,108
9,2021,202104,10,52.1,47
13,2022,202203,31,41.9,30
14,2022,202201,3,54.4,5
3,2021,202107,29,64.3,70
12,2022,202208,8,76.6,74
2,2022,202208,23,72.0,40
6,2021,202109,14,70.5,6
2,2022,202208,6,70.2,11
5,2021,202110,18,59.3,84
1,2022,202202,10,47.3,86
5,2021,202112,28,54.3,19
2,2021,202105,2,49.2,55
2,2021,202101,12,48.2,21
1,2022,202202,20,52.6,70
34,2021,202106,24,62.2,2
3,2022,202208,19,68.9,55
2,2022,202203,31,41.9,23
4,2022,202208,11,83.6,106
2,2022,202206,13,65.5,123
6,2021,202112,16,44.4,6
4,2022,202208,23,72.0,4
6,2022,202202,13,43.4,6
36,2022,202205,5,57.3,5
5,2021,202101,28,54.1,23
6,2022,202205,31,59.9,9
2,2021,202105,8,62.7,26
2,2021,202111,23,41.8,86
8,2022,202207,29,72.9,85
64,2022,202205,27,59.0,29
1,2022,202205,17,69.7,44
3,2021,202110,19,63.2,50
2,2022,202208,14,67.7,115
5,2021,202110,20,63.3,121
6,2022,202202,28,48.6,24
1,2022,202202,17,54.3,50
28,2021,202102,19,49.6,2
9,2021,202109,5,70.3,70
1,2021,202107,24,65.2,132
4,2021,202106,18,64.2,73
3,2021,202110,11,55.5,121
10,2022,202208,2,77.2,73
1,2021,202104,30,53.7,58
11,2022,202208,18,66.9,74
1,2022,202204,13,56.0,7
9,2022,202201,23,38.3,146
2,2022,202209,23,58.2,82
1,2022,202209,28,59.5,115
1,2022,202203,1,52.6,125
10,2021,202105,22,54.6,21
1,2021,202103,29,55.9,52
2,2022,202207,24,72.2,11
23,2021,202111,23,41.8,2
3,2021,202105,23,53.8,26
24,2022,202203,16,53.9,83
7,2021,202103,30,60.8,124
2,2021,202105,27,59.9,10
1,2021,202112,29,56.0,7
2,2022,202208,1,72.3,136
1,2021,202112,2,40.8,108
12,2022,202208,20,68.2,9
4,2022,202209,7,65.5,106
2,2021,202108,12,69.4,139
46,2021,202103,4,48.5,29
2,2021,202106,15,74.9,76
1,2022,202209,23,58.2,11
42,2021,202110,26,52.2,5
4,2022,202207,5,66.0,85
22,2022,202205,29,59.5,124
2,2022,202209,3,67.2,82
199,2021,202104,22,59.6,138
1,2021,202101,4,35.5,12
17,2022,202208,28,73.1,44
1,2021,202103,23,46.0,67
19,2022,202206,14,71.5,29
8,2022,202207,1,60.0,28
49,2021,202105,29,66.5,83
3,2022,202205,13,62.0,84
1,2022,202205,13,62.0,80
4,2021,202102,4,49.7,77
47,2021,202102,27,46.1,83
8,2022,202208,5,70.0,44
10,2021,202109,13,68.5,28
4,2022,202206,14,71.5,9
1,2021,202103,28,48.1,123
18,2021,202107,25,67.1,47
2,2022,202207,19,78.3,80
478,2022,202207,24,72.2,138
2,2021,202110,28,52.2,49
3,2022,202203,27,54.5,76
2,2021,202109,17,61.6,108
8,2022,202202,8,46.0,139
18,2021,202112,4,49.9,29
76,2022,202207,9,75.8,30
2,2021,202110,23,47.8,123
2,2022,202207,6,69.4,133
5,2021,202103,7,40.1,12
22,2022,202205,16,66.1,83
1,2022,202209,27,57.8,39
5,2021,202106,11,72.2,27
1,2022,202202,21,50.1,38
1,2021,202108,27,63.8,136
2,2022,202203,16,53.9,139
5,2021,202101,21,48.6,41
24,2021,202107,19,78.3,10
1,2022,202203,7,40.3,133
2,2022,202206,20,70.4,101
1,2022,202201,20,43.1,94
1,2021,202112,4,49.9,120
4,2021,202107,7,60.8,21
1,2022,202201,11,46.0,73
1,2021,202103,30,60.8,24
5,2021,202110,13,53.1,85
1,2022,202201,24,36.5,85
6,2022,202205,8,62.8,47
10,2022,202202,12,39.7,23
7,2021,202102,26,48.1,27
6,2021,202108,22,65.4,127
4,2021,202110,13,53.1,24
5,2022,202206,21,69.9,47
31,2022,202202,8,46.0,2
34,2022,202209,27,57.8,2
2,2021,202109,25,61.0,139
2,2022,202207,8,72.7,101
5,2021,202103,23,46.0,124
7,2021,202108,15,66.1,52
13,2022,202208,19,68.9,108
5,2022,202204,21,60.6,7
8,2021,202106,22,60.3,27
1,2021,202105,25,53.5,50
9,2021,202102,19,49.6,10
2,2021,202108,2,63.9,125
3,2022,202208,6,70.2,24
4,2022,202206,12,66.8,70
6,2021,202107,6,62.1,108
1,2022,202209,29,52.4,125
46,2022,202204,15,62.3,2
1,2021,202112,29,56.0,39
1,2021,202102,1,52.1,35
4,2021,202110,30,56.2,67
4,2021,202107,15,64.7,44
7,2021,202104,11,44.4,31
2,2021,202109,21,63.6,12
2,2022,202207,9,75.8,131
8,2022,202207,21,70.3,4
3,2021,202102,21,54.0,12
3,2022,202206,28,61.1,9
7,2021,202108,1,62.5,108
1,2021,202105,23,53.8,131
4,2021,202108,23,64.7,77
1,2022,202201,22,36.1,64
8,2021,202107,27,65.2,27
6,2022,202206,25,59.9,127
