Fecha,Avg_temp
01/01/21,33.3
02/01/21,33
03/01/21,35.5
04/01/21,35.5
05/01/21,37.6
06/01/21,37
07/01/21,32.1
08/01/21,30.3
09/01/21,32.3
10/01/21,35.6
11/01/21,32.1
12/01/21,48.2
13/01/21,49.6
14/01/21,48.9
15/01/21,41.8
16/01/21,40.7
17/01/21,43.4
18/01/21,39.2
19/01/21,45.6
20/01/21,49
21/01/21,48.6
22/01/21,43.9
23/01/21,41.9
24/01/21,40
25/01/21,38
26/01/21,34.5
27/01/21,49.2
28/01/21,54.1
29/01/21,53
30/01/21,51.7
31/01/21,51.1
01/02/21,52.1
02/02/21,54.5
03/02/21,52.4
04/02/21,49.7
05/02/21,48.4
06/02/21,45.9
07/02/21,40.5
08/02/21,36.5
09/02/21,35.2
10/02/21,33.9
11/02/21,29
12/02/21,32.9
13/02/21,31.1
14/02/21,38.6
15/02/21,49.1
16/02/21,49.1
17/02/21,51.8
18/02/21,49.6
19/02/21,49.6
20/02/21,57
21/02/21,54
22/02/21,52.1
23/02/21,51.9
24/02/21,54.5
25/02/21,49.9
26/02/21,48.1
27/02/21,46.1
28/02/21,44.9
01/03/21,49.2
02/03/21,51.9
03/03/21,51.2
04/03/21,48.5
05/03/21,43.7
06/03/21,39.8
07/03/21,40.1
08/03/21,38.5
09/03/21,38
10/03/21,41.9
11/03/21,52.9
12/03/21,48.4
13/03/21,49.4
14/03/21,46.2
15/03/21,51.1
16/03/21,53.2
17/03/21,50.9
18/03/21,45.4
19/03/21,48.3
20/03/21,44.5
21/03/21,42.2
22/03/21,44.2
23/03/21,46
24/03/21,45.4
25/03/21,50.3
26/03/21,49.4
27/03/21,46.4
28/03/21,48.1
29/03/21,55.9
30/03/21,60.8
31/03/21,61.2
01/04/21,64.7
02/04/21,59.4
03/04/21,48
04/04/21,48.5
05/04/21,45.9
06/04/21,42.8
07/04/21,42.3
08/04/21,44.8
09/04/21,51.1
10/04/21,52.1
11/04/21,44.4
12/04/21,42.7
13/04/21,45.6
14/04/21,47.1
15/04/21,45.9
16/04/21,46.3
17/04/21,48.9
18/04/21,47.4
19/04/21,51
20/04/21,56.8
21/04/21,57.5
22/04/21,59.6
23/04/21,62.1
24/04/21,63.6
25/04/21,60.3
26/04/21,57.8
27/04/21,56.4
28/04/21,51.9
29/04/21,50.5
30/04/21,53.7
01/05/21,50.6
02/05/21,49.2
03/05/21,49
04/05/21,52.3
05/05/21,49.3
06/05/21,54
07/05/21,52.3
08/05/21,62.7
09/05/21,60.1
10/05/21,56.5
11/05/21,52.8
12/05/21,52.1
13/05/21,53.9
14/05/21,52.1
15/05/21,55.7
16/05/21,55.4
17/05/21,55.6
18/05/21,53
19/05/21,55.5
20/05/21,54.6
21/05/21,56.3
22/05/21,54.6
23/05/21,53.8
24/05/21,54
25/05/21,53.5
26/05/21,56
27/05/21,59.9
28/05/21,64.6
29/05/21,66.5
30/05/21,68
31/05/21,68.3
01/06/21,71.7
02/06/21,65.1
03/06/21,60.3
04/06/21,60.4
05/06/21,60.3
06/06/21,63.7
07/06/21,66.7
08/06/21,68.6
09/06/21,66.8
10/06/21,67.1
11/06/21,72.2
12/06/21,71.8
13/06/21,73.9
14/06/21,76.7
15/06/21,74.9
16/06/21,76.3
17/06/21,70.1
18/06/21,64.2
19/06/21,64.7
20/06/21,62.1
21/06/21,61.4
22/06/21,60.3
23/06/21,59.2
24/06/21,62.2
25/06/21,60.8
26/06/21,60.9
27/06/21,61.6
28/06/21,58.4
29/06/21,60.6
30/06/21,64.7
01/07/21,66.6
02/07/21,63.7
03/07/21,64.9
04/07/21,63.9
05/07/21,63.3
06/07/21,62.1
07/07/21,60.8
08/07/21,61.6
09/07/21,60.2
10/07/21,59.7
11/07/21,61.5
12/07/21,62.4
13/07/21,63.4
14/07/21,65
15/07/21,64.7
16/07/21,67.8
17/07/21,68.5
18/07/21,75.2
19/07/21,78.3
20/07/21,78.7
21/07/21,78.1
22/07/21,78.9
23/07/21,72.8
24/07/21,65.2
25/07/21,67.1
